record_type,schema_version,status_seq,timestamp_ticks,status_domain,component,status_key,status_value,severity,flags
STS,1,22,92052752,rp2040_timer0,system,uptime_seconds,5,INFO,0
STS,1,23,92057760,rp2040_timer0,capture,event_count,17,INFO,0
STS,1,24,92062640,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,25,92067696,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,26,108052576,rp2040_timer0,system,uptime_seconds,6,INFO,0
STS,1,27,108057104,rp2040_timer0,capture,event_count,21,INFO,0
STS,1,28,108062288,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,29,108067504,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,30,124048144,rp2040_timer0,system,uptime_seconds,7,INFO,0
STS,1,31,124053744,rp2040_timer0,capture,event_count,24,INFO,0
STS,1,32,124058384,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,33,124063392,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,34,140048160,rp2040_timer0,system,uptime_seconds,8,INFO,0
STS,1,35,140053296,rp2040_timer0,capture,event_count,28,INFO,0
STS,1,36,140057632,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,37,140062464,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,38,156048176,rp2040_timer0,system,uptime_seconds,9,INFO,0
STS,1,39,156053360,rp2040_timer0,capture,event_count,32,INFO,0
STS,1,40,156057632,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,41,156062752,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,42,172048288,rp2040_timer0,system,uptime_seconds,10,INFO,0
STS,1,43,172053472,rp2040_timer0,capture,event_count,36,INFO,0
STS,1,44,172057760,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,45,172062336,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,46,188048256,rp2040_timer0,system,uptime_seconds,11,INFO,0
STS,1,47,188053584,rp2040_timer0,capture,event_count,40,INFO,0
STS,1,48,188057584,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,49,188062032,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,50,204048256,rp2040_timer0,system,uptime_seconds,12,INFO,0
