record_type,schema_version,status_seq,timestamp_ticks,status_domain,component,status_key,status_value,severity,flags
STS,1,1,24096624,rp2040_timer0,system,boot,true,INFO,32768
STS,1,2,24100160,rp2040_timer0,system,mode,SW1_GPS_PPS,INFO,32768
STS,1,3,24102656,rp2040_timer0,system,arduino_core,earlephilhower_arduino_pico,INFO,32768
STS,1,4,24105792,rp2040_timer0,system,board,arduino_nano_rp2040_connect,INFO,32768
STS,1,5,24108720,rp2040_timer0,pins,ch0_generic_event,D10,INFO,32768
STS,1,6,24112560,rp2040_timer0,pins,ch1_pps_reference,D14,INFO,32768
STS,1,7,24116096,rp2040_timer0,pins,ch2_osc_observation,D8_GPIO20_GPIN0,INFO,32768
STS,1,8,40113104,rp2040_timer0,system,uptime_seconds,2,INFO,0
STS,1,9,40117264,rp2040_timer0,capture,event_count,1,INFO,0
STS,1,10,40120464,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,11,40123712,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,12,56112224,rp2040_timer0,system,uptime_seconds,3,INFO,0
STS,1,13,56115968,rp2040_timer0,capture,event_count,2,INFO,0
STS,1,14,56119344,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,15,56122752,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,16,72112224,rp2040_timer0,system,uptime_seconds,4,INFO,0
STS,1,17,72116000,rp2040_timer0,capture,event_count,3,INFO,0
STS,1,18,72119296,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,19,72122464,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,20,88112192,rp2040_timer0,system,uptime_seconds,5,INFO,0
STS,1,21,88115872,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,22,88119184,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,23,88122576,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,24,104112208,rp2040_timer0,system,uptime_seconds,6,INFO,0
STS,1,25,104115904,rp2040_timer0,capture,event_count,5,INFO,0
STS,1,26,104119232,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,27,104122656,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,28,120112176,rp2040_timer0,system,uptime_seconds,7,INFO,0
STS,1,29,120115872,rp2040_timer0,capture,event_count,6,INFO,0
STS,1,30,120119184,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,31,120122432,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,32,136112192,rp2040_timer0,system,uptime_seconds,8,INFO,0
STS,1,33,136115936,rp2040_timer0,capture,event_count,7,INFO,0
STS,1,34,136119200,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,35,136122672,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,36,152112208,rp2040_timer0,system,uptime_seconds,9,INFO,0
STS,1,37,152115872,rp2040_timer0,capture,event_count,8,INFO,0
STS,1,38,152119248,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,39,152122560,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,40,168112368,rp2040_timer0,system,uptime_seconds,10,INFO,0
STS,1,41,168116048,rp2040_timer0,capture,event_count,9,INFO,0
STS,1,42,168119216,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,43,168123040,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,44,184112256,rp2040_timer0,system,uptime_seconds,11,INFO,0
STS,1,45,184115920,rp2040_timer0,capture,event_count,10,INFO,0
STS,1,46,184119072,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,47,184122384,rp2040_timer0,capture,error_flags,0,INFO,0
