record_type,schema_version,event_seq,channel_id,edge,timestamp_ticks,capture_domain,flags
REF,1,1000,1,R,28585696,rp2040_timer0,16
REF,1,1001,1,R,44585488,rp2040_timer0,16
REF,1,1002,1,R,60585440,rp2040_timer0,16
REF,1,1003,1,R,76585376,rp2040_timer0,16
REF,1,1004,1,R,92585376,rp2040_timer0,16
REF,1,1005,1,R,108585360,rp2040_timer0,16
REF,1,1006,1,R,124585344,rp2040_timer0,16
REF,1,1007,1,R,140585360,rp2040_timer0,16
REF,1,1008,1,R,156585344,rp2040_timer0,16
REF,1,1009,1,R,172585328,rp2040_timer0,16
REF,1,1010,1,R,188585312,rp2040_timer0,16
REF,1,1011,1,R,204585312,rp2040_timer0,16
REF,1,1012,1,R,220585296,rp2040_timer0,16
REF,1,1013,1,R,236585280,rp2040_timer0,16
REF,1,1014,1,R,252585248,rp2040_timer0,16
REF,1,1015,1,R,268585216,rp2040_timer0,16
REF,1,1016,1,R,284585216,rp2040_timer0,16
REF,1,1017,1,R,300585200,rp2040_timer0,16
REF,1,1018,1,R,316585168,rp2040_timer0,16
REF,1,1019,1,R,332585168,rp2040_timer0,16
REF,1,1020,1,R,348585152,rp2040_timer0,16
REF,1,1021,1,R,364585136,rp2040_timer0,16
REF,1,1022,1,R,380585120,rp2040_timer0,16
REF,1,1023,1,R,396585088,rp2040_timer0,16
REF,1,1024,1,R,412585088,rp2040_timer0,16
REF,1,1025,1,R,428585056,rp2040_timer0,16
REF,1,1026,1,R,444585056,rp2040_timer0,16
