record_type,schema_version,status_seq,timestamp_ticks,status_domain,component,status_key,status_value,severity,flags
STS,1,1,24099360,rp2040_timer0,system,boot,true,INFO,32768
STS,1,2,24103408,rp2040_timer0,system,mode,SW1_SYNTHETIC_USB,INFO,32768
STS,1,3,24106464,rp2040_timer0,system,arduino_core,earlephilhower_arduino_pico,INFO,32768
STS,1,4,24109328,rp2040_timer0,system,board,arduino_nano_rp2040_connect,INFO,32768
STS,1,5,24112464,rp2040_timer0,pins,ch0_generic_event,D10,INFO,32768
STS,1,6,24115680,rp2040_timer0,pins,ch1_pps_reference,D14,INFO,32768
STS,1,7,24119504,rp2040_timer0,pins,ch2_osc_observation,D8_GPIO20_GPIN0,INFO,32768
STS,1,8,40129088,rp2040_timer0,system,uptime_seconds,2,INFO,0
STS,1,9,40133552,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,10,40137440,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,11,40141296,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,12,56128224,rp2040_timer0,system,uptime_seconds,3,INFO,0
STS,1,13,56132112,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,14,56135936,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,15,56139728,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,16,72128192,rp2040_timer0,system,uptime_seconds,4,INFO,0
STS,1,17,72132192,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,18,72136384,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,19,72140208,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,20,88128176,rp2040_timer0,system,uptime_seconds,5,INFO,0
STS,1,21,88132048,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,22,88135792,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,23,88139552,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,24,104128160,rp2040_timer0,system,uptime_seconds,6,INFO,0
STS,1,25,104132144,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,26,104135840,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,27,104139456,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,28,120128144,rp2040_timer0,system,uptime_seconds,7,INFO,0
STS,1,29,120132192,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,30,120136048,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,31,120139808,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,32,136128160,rp2040_timer0,system,uptime_seconds,8,INFO,0
STS,1,33,136132256,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,34,136136240,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,35,136140064,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,36,152128160,rp2040_timer0,system,uptime_seconds,9,INFO,0
STS,1,37,152132112,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,38,152135952,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,39,152139776,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,40,168128352,rp2040_timer0,system,uptime_seconds,10,INFO,0
STS,1,41,168132288,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,42,168136032,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,43,168139088,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,44,184128208,rp2040_timer0,system,uptime_seconds,11,INFO,0
STS,1,45,184132048,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,46,184135920,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,47,184139104,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,48,200128192,rp2040_timer0,system,uptime_seconds,12,INFO,0
