record_type,schema_version,count_seq,channel_id,gate_open_ticks,gate_close_ticks,gate_domain,counted_edges,source_edge,source_domain,flags
CNT,1,5,2,92048000,92064032,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,6,2,108048000,108064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,7,2,124048032,124064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,8,2,140048000,140064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,9,2,156048016,156064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,10,2,172048016,172064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,11,2,188048032,188064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,12,2,204048016,204064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,13,2,220048016,220064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,14,2,236048016,236064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,15,2,252048016,252064048,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,16,2,268048032,268064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,17,2,284048016,284064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,18,2,300048016,300064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,19,2,316048016,316064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,20,2,332048016,332064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,21,2,348048016,348064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,22,2,364048032,364064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,23,2,380048000,380064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,24,2,396048016,396064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,25,2,412048032,412064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,26,2,428048032,428064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,27,2,444048016,444064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,28,2,460048032,460064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,29,2,476048016,476064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,30,2,492048000,492064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,31,2,508048016,508064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,32,2,524048016,524064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,33,2,540048032,540064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,34,2,556048000,556064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,35,2,572048016,572064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,36,2,588048016,588064048,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,37,2,604048016,604064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,38,2,620048032,620064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,39,2,636048000,636064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,40,2,652048016,652064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,41,2,668048000,668064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,42,2,684048016,684064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,43,2,700048016,700064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,44,2,716048000,716064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,45,2,732048016,732064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,46,2,748048016,748064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,47,2,764048032,764064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,48,2,780048032,780064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,49,2,796048000,796064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,50,2,812048000,812064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,51,2,828048000,828064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,52,2,844048000,844064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,53,2,860048016,860064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,54,2,876048000,876064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,55,2,892048016,892064048,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,56,2,908048000,908064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,57,2,924048000,924064016,rp2040_timer0,16017,R,h0_tcxo_16mhz,16
CNT,1,58,2,940048000,940064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,59,2,956048016,956064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,60,2,972048016,972064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,61,2,988048016,988064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,62,2,1004048032,1004064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,63,2,1020048032,1020064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,64,2,1036048032,1036064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,65,2,1052048000,1052064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,66,2,1068048032,1068064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,67,2,1084048032,1084064048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,68,2,1100048064,1100064096,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,69,2,1116048016,1116064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,70,2,1132048016,1132064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,71,2,1148048016,1148064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,72,2,1164048000,1164064032,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,73,2,1180048000,1180064016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,74,2,1196048016,1196064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,75,2,1212048016,1212064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,76,2,1228048016,1228064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,77,2,1244048016,1244064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,78,2,1260048016,1260064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,79,2,1276048016,1276064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,80,2,1292048016,1292064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,81,2,1308048016,1308064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,82,2,1324048016,1324064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,83,2,1340048016,1340064032,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,84,2,1356048016,1356064048,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
