record_type,schema_version,status_seq,timestamp_ticks,status_domain,component,status_key,status_value,severity,flags
STS,1,21,92068720,rp2040_timer0,system,uptime_seconds,5,INFO,0
STS,1,22,92072864,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,23,92076480,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,24,92079200,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,25,108068400,rp2040_timer0,system,uptime_seconds,6,INFO,0
STS,1,26,108072176,rp2040_timer0,capture,event_count,5,INFO,0
STS,1,27,108076016,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,28,108078992,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,29,124068720,rp2040_timer0,system,uptime_seconds,7,INFO,0
STS,1,30,124071792,rp2040_timer0,capture,event_count,6,INFO,0
STS,1,31,124074576,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,32,124077888,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,33,140068720,rp2040_timer0,system,uptime_seconds,8,INFO,0
STS,1,34,140072336,rp2040_timer0,capture,event_count,7,INFO,0
STS,1,35,140075856,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,36,140078976,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,37,156068400,rp2040_timer0,system,uptime_seconds,9,INFO,0
STS,1,38,156071952,rp2040_timer0,capture,event_count,8,INFO,0
STS,1,39,156075088,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,40,156078464,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,41,172069008,rp2040_timer0,system,uptime_seconds,10,INFO,0
STS,1,42,172072352,rp2040_timer0,capture,event_count,9,INFO,0
STS,1,43,172075600,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,44,172078656,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,45,188069056,rp2040_timer0,system,uptime_seconds,11,INFO,0
STS,1,46,188072672,rp2040_timer0,capture,event_count,10,INFO,0
STS,1,47,188076112,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,48,188079104,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,49,204068992,rp2040_timer0,system,uptime_seconds,12,INFO,0
STS,1,50,204072480,rp2040_timer0,capture,event_count,11,INFO,0
STS,1,51,204075984,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,52,204078848,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,53,220068912,rp2040_timer0,system,uptime_seconds,13,INFO,0
STS,1,54,220072464,rp2040_timer0,capture,event_count,12,INFO,0
STS,1,55,220075808,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,56,220078592,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,57,236068944,rp2040_timer0,system,uptime_seconds,14,INFO,0
STS,1,58,236072448,rp2040_timer0,capture,event_count,13,INFO,0
STS,1,59,236075808,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,60,236078672,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,61,252068752,rp2040_timer0,system,uptime_seconds,15,INFO,0
STS,1,62,252072816,rp2040_timer0,capture,event_count,14,INFO,0
STS,1,63,252076384,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,64,252079280,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,65,268068624,rp2040_timer0,system,uptime_seconds,16,INFO,0
STS,1,66,268072528,rp2040_timer0,capture,event_count,15,INFO,0
STS,1,67,268075680,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,68,268078736,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,69,284068720,rp2040_timer0,system,uptime_seconds,17,INFO,0
STS,1,70,284072048,rp2040_timer0,capture,event_count,16,INFO,0
STS,1,71,284075200,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,72,284078160,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,73,300068896,rp2040_timer0,system,uptime_seconds,18,INFO,0
STS,1,74,300072240,rp2040_timer0,capture,event_count,17,INFO,0
STS,1,75,300075728,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,76,300078576,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,77,316068768,rp2040_timer0,system,uptime_seconds,19,INFO,0
STS,1,78,316072304,rp2040_timer0,capture,event_count,18,INFO,0
STS,1,79,316075424,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,80,316078384,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,81,332068944,rp2040_timer0,system,uptime_seconds,20,INFO,0
STS,1,82,332072576,rp2040_timer0,capture,event_count,19,INFO,0
STS,1,83,332076144,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,84,332079184,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,85,348068800,rp2040_timer0,system,uptime_seconds,21,INFO,0
STS,1,86,348072240,rp2040_timer0,capture,event_count,20,INFO,0
STS,1,87,348075680,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,88,348078464,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,89,364068880,rp2040_timer0,system,uptime_seconds,22,INFO,0
STS,1,90,364072256,rp2040_timer0,capture,event_count,21,INFO,0
STS,1,91,364075376,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,92,364078288,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,93,380068864,rp2040_timer0,system,uptime_seconds,23,INFO,0
STS,1,94,380072384,rp2040_timer0,capture,event_count,22,INFO,0
STS,1,95,380075440,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,96,380078256,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,97,396068672,rp2040_timer0,system,uptime_seconds,24,INFO,0
STS,1,98,396072416,rp2040_timer0,capture,event_count,23,INFO,0
