record_type,schema_version,event_seq,channel_id,edge,timestamp_ticks,capture_domain,flags
REF,1,1004,1,R,102098800,rp2040_timer0,16
REF,1,1005,1,R,118098800,rp2040_timer0,16
REF,1,1006,1,R,134098784,rp2040_timer0,16
REF,1,1007,1,R,150098784,rp2040_timer0,16
REF,1,1008,1,R,166098768,rp2040_timer0,16
REF,1,1009,1,R,182098752,rp2040_timer0,16
REF,1,1010,1,R,198098736,rp2040_timer0,16
REF,1,1011,1,R,214098720,rp2040_timer0,16
REF,1,1012,1,R,230098704,rp2040_timer0,16
REF,1,1013,1,R,246098704,rp2040_timer0,16
REF,1,1014,1,R,262098688,rp2040_timer0,16
REF,1,1015,1,R,278098688,rp2040_timer0,16
REF,1,1016,1,R,294098656,rp2040_timer0,16
REF,1,1017,1,R,310098656,rp2040_timer0,16
REF,1,1018,1,R,326098624,rp2040_timer0,16
REF,1,1019,1,R,342098624,rp2040_timer0,16
REF,1,1020,1,R,358098608,rp2040_timer0,16
REF,1,1021,1,R,374098576,rp2040_timer0,16
REF,1,1022,1,R,390098592,rp2040_timer0,16
REF,1,1023,1,R,406098576,rp2040_timer0,16
REF,1,1024,1,R,422098560,rp2040_timer0,16
REF,1,1025,1,R,438098576,rp2040_timer0,16
REF,1,1026,1,R,454098560,rp2040_timer0,16
REF,1,1027,1,R,470098544,rp2040_timer0,16
REF,1,1028,1,R,486098544,rp2040_timer0,16
REF,1,1029,1,R,502098544,rp2040_timer0,16
REF,1,1030,1,R,518098528,rp2040_timer0,16
REF,1,1031,1,R,534098528,rp2040_timer0,16
REF,1,1032,1,R,550098512,rp2040_timer0,16
REF,1,1033,1,R,566098480,rp2040_timer0,16
REF,1,1034,1,R,582098480,rp2040_timer0,16
REF,1,1035,1,R,598098480,rp2040_timer0,16
REF,1,1036,1,R,614098464,rp2040_timer0,16
REF,1,1037,1,R,630098448,rp2040_timer0,16
REF,1,1038,1,R,646098432,rp2040_timer0,16
REF,1,1039,1,R,662098432,rp2040_timer0,16
REF,1,1040,1,R,678098416,rp2040_timer0,16
REF,1,1041,1,R,694098416,rp2040_timer0,16
REF,1,1042,1,R,710098384,rp2040_timer0,16
REF,1,1043,1,R,726098416,rp2040_timer0,16
REF,1,1044,1,R,742098384,rp2040_timer0,16
REF,1,1045,1,R,758098384,rp2040_timer0,16
REF,1,1046,1,R,774098352,rp2040_timer0,16
REF,1,1047,1,R,790098368,rp2040_timer0,16
REF,1,1048,1,R,806098336,rp2040_timer0,16
REF,1,1049,1,R,822098320,rp2040_timer0,16
REF,1,1050,1,R,838098320,rp2040_timer0,16
REF,1,1051,1,R,854098304,rp2040_timer0,16
REF,1,1052,1,R,870098304,rp2040_timer0,16
REF,1,1053,1,R,886098320,rp2040_timer0,16
REF,1,1054,1,R,902098304,rp2040_timer0,16
REF,1,1055,1,R,918098288,rp2040_timer0,16
REF,1,1056,1,R,934098304,rp2040_timer0,16
REF,1,1057,1,R,950098272,rp2040_timer0,16
REF,1,1058,1,R,966098272,rp2040_timer0,16
REF,1,1059,1,R,982098240,rp2040_timer0,16
REF,1,1060,1,R,998098256,rp2040_timer0,16
REF,1,1061,1,R,1014098256,rp2040_timer0,16
REF,1,1062,1,R,1030098240,rp2040_timer0,16
REF,1,1063,1,R,1046098256,rp2040_timer0,16
REF,1,1064,1,R,1062098256,rp2040_timer0,16
REF,1,1065,1,R,1078098256,rp2040_timer0,16
REF,1,1066,1,R,1094098240,rp2040_timer0,16
REF,1,1067,1,R,1110098240,rp2040_timer0,16
REF,1,1068,1,R,1126098240,rp2040_timer0,16
REF,1,1069,1,R,1142098256,rp2040_timer0,16
REF,1,1070,1,R,1158098256,rp2040_timer0,16
REF,1,1071,1,R,1174098256,rp2040_timer0,16
REF,1,1072,1,R,1190098240,rp2040_timer0,16
REF,1,1073,1,R,1206098256,rp2040_timer0,16
REF,1,1074,1,R,1222098224,rp2040_timer0,16
REF,1,1075,1,R,1238098224,rp2040_timer0,16
REF,1,1076,1,R,1254098224,rp2040_timer0,16
REF,1,1077,1,R,1270098208,rp2040_timer0,16
REF,1,1078,1,R,1286098208,rp2040_timer0,16
REF,1,1079,1,R,1302098192,rp2040_timer0,16
REF,1,1080,1,R,1318098176,rp2040_timer0,16
REF,1,1081,1,R,1334098176,rp2040_timer0,16
REF,1,1082,1,R,1350098176,rp2040_timer0,16
