record_type,schema_version,count_seq,channel_id,gate_open_ticks,gate_close_ticks,gate_domain,counted_edges,source_edge,source_domain,flags
CNT,1,2,2,44110144,44126160,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,3,2,60109344,60125360,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,4,2,76109760,76125776,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,5,2,92109856,92125872,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,6,2,108110144,108126160,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,7,2,124109968,124125984,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,8,2,140109312,140125328,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,9,2,156110272,156126304,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,10,2,172109584,172125600,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,11,2,188109408,188125424,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,12,2,204110640,204126656,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,13,2,220110480,220126496,rp2040_timer0,16017,R,h0_tcxo_16mhz,16
CNT,1,14,2,236109920,236125936,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,15,2,252110560,252126592,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,16,2,268110400,268126416,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,17,2,284109840,284125872,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,18,2,300110320,300126336,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,19,2,316109008,316125040,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,20,2,332110176,332126192,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,21,2,348110064,348126096,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,22,2,364109584,364125600,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,23,2,380110704,380126736,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,24,2,396109712,396125728,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,25,2,412109760,412125776,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,26,2,428109984,428126000,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,27,2,444109664,444125680,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,28,2,460109664,460125696,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,29,2,476109744,476125760,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,30,2,492108496,492124512,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,31,2,508109840,508125856,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,32,2,524109536,524125552,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,33,2,540109632,540125648,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,34,2,556109808,556125824,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,35,2,572109600,572125616,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,36,2,588109536,588125552,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,37,2,604108832,604124848,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,38,2,620109664,620125680,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,39,2,636109472,636125488,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,40,2,652108848,652124864,rp2040_timer0,16017,R,h0_tcxo_16mhz,16
CNT,1,41,2,668109680,668125712,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,42,2,684108768,684124784,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,43,2,700110064,700126080,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,44,2,716110416,716126432,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,45,2,732110288,732126304,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,46,2,748110240,748126256,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,47,2,764109584,764125616,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,48,2,780110032,780126064,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,49,2,796109808,796125824,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,50,2,812109792,812125808,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,51,2,828109200,828125216,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,52,2,844109632,844125648,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,53,2,860110000,860126016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,54,2,876109488,876125520,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,55,2,892110672,892126688,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,56,2,908109808,908125824,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,57,2,924110000,924126016,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,58,2,940109552,940125568,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,59,2,956110528,956126544,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,60,2,972109472,972125488,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,61,2,988109248,988125280,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,62,2,1004110368,1004126384,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,63,2,1020109968,1020125984,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,64,2,1036109376,1036125408,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,65,2,1052109904,1052125936,rp2040_timer0,16032,R,h0_tcxo_16mhz,16
CNT,1,66,2,1068110032,1068126048,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
CNT,1,67,2,1084109088,1084125104,rp2040_timer0,16016,R,h0_tcxo_16mhz,16
