record_type,schema_version,status_seq,timestamp_ticks,status_domain,component,status_key,status_value,severity,flags
STS,1,1,24103008,rp2040_timer0,system,boot,true,INFO,32768
STS,1,2,24109040,rp2040_timer0,protocol,schema_version,1,INFO,32768
STS,1,3,24112608,rp2040_timer0,firmware,name,otis_nano_rp2040_connect,INFO,32768
STS,1,4,24116192,rp2040_timer0,firmware,version,SW1,INFO,32768
STS,1,5,24119296,rp2040_timer0,firmware,git_commit,unknown,INFO,32768
STS,1,6,24122112,rp2040_timer0,system,mode,H1_OCXO_OBSERVE_OPEN_LOOP,INFO,32768
STS,1,7,24125456,rp2040_timer0,capture,mode,irq_reconstructed,INFO,32768
STS,1,8,24129504,rp2040_timer0,capture,timestamp_latch,irq_micros_reconstructed,WARN,16
STS,1,9,24133216,rp2040_timer0,capture,limitation,bench_validation_not_final_pio_dma_metrology,WARN,16
STS,1,10,24136400,rp2040_timer0,capture,nominal_capture_clock_hz,16000000,INFO,32768
STS,1,11,24139664,rp2040_timer0,reference,nominal_pps_hz,1,INFO,32768
STS,1,12,24143296,rp2040_timer0,reference,nominal_tcxo_hz,16000000,INFO,32768
STS,1,13,24147648,rp2040_timer0,reference,nominal_ocxo_hz,10000000,INFO,32768
STS,1,14,24151104,rp2040_timer0,capture,fc0_measure_period_ms,1000,INFO,32768
STS,1,15,24153888,rp2040_timer0,system,arduino_core,earlephilhower_arduino_pico,INFO,32768
STS,1,16,24157024,rp2040_timer0,system,board,arduino_nano_rp2040_connect,INFO,32768
STS,1,17,24161088,rp2040_timer0,build,enable_rp2040_boot_diag,1,INFO,32768
STS,1,18,24165232,rp2040_timer0,build,enable_status_led,0,INFO,32768
STS,1,19,24168016,rp2040_timer0,build,capture_backend,irq,INFO,32768
STS,1,20,24171104,rp2040_timer0,build,tcxo_counter_backend,rp2040_fc0_gpin0,INFO,32768
STS,1,21,24174784,rp2040_timer0,build,enable_dac_ad5693r,1,INFO,32768
STS,1,22,24178832,rp2040_timer0,dac,i2c_address,76,INFO,32768
STS,1,23,24182992,rp2040_timer0,dac,min_code,0x7000,INFO,32768
STS,1,24,24185904,rp2040_timer0,dac,max_code,0x9000,INFO,32768
STS,1,25,24189392,rp2040_timer0,pins,ch0_generic_event,D10,INFO,32768
STS,1,26,24193536,rp2040_timer0,pins,ch1_pps_reference,D14,INFO,32768
STS,1,27,24197376,rp2040_timer0,pins,ch2_osc_observation,D8_GPIO20_GPIN0,INFO,32768
STS,1,28,24200112,rp2040_timer0,system,h1_open_loop,true,WARN,32768
STS,1,29,24203152,rp2040_timer0,control,gpsdo_steering,not_implemented,INFO,32768
STS,1,30,24207616,rp2040_timer0,capture,tcxo_counter_backend,rp2040_fc0_gpin0,INFO,32768
STS,1,31,24220800,rp2040_timer0,dac,init,failed,ERROR,32
STS,1,32,24225328,rp2040_timer0,dac,enabled,true,INFO,32768
STS,1,33,24229648,rp2040_timer0,dac,initialized,false,WARN,0
STS,1,34,24232192,rp2040_timer0,dac,last_write_ok,false,WARN,0
STS,1,35,24235488,rp2040_timer0,dac,i2c_address,76,INFO,32768
STS,1,36,24239808,rp2040_timer0,dac,min_code,0x7000,INFO,32768
STS,1,37,24244112,rp2040_timer0,dac,max_code,0x9000,INFO,32768
STS,1,38,24247616,rp2040_timer0,dac,last_requested_code,0x0000,INFO,0
STS,1,39,24250640,rp2040_timer0,dac,last_applied_code,0x7000,INFO,0
STS,1,40,24254064,rp2040_timer0,dac,gain_mode,1x,INFO,32768
STS,1,41,24258144,rp2040_timer0,dac,reference_mode,external_or_breakout_default,INFO,32768
STS,1,42,40276624,rp2040_timer0,system,uptime_seconds,2,INFO,0
STS,1,43,40280304,rp2040_timer0,capture,event_count,0,INFO,0
STS,1,44,40283520,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,45,40286912,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,46,56277088,rp2040_timer0,system,uptime_seconds,3,INFO,0
