record_type,schema_version,count_seq,channel_id,gate_open_ticks,gate_close_ticks,gate_domain,counted_edges,source_edge,source_domain,flags
CNT,1,1,2,24262368,24278464,rp2040_timer0,10060,R,h1_ocxo_open_loop,16
CNT,1,2,2,40256016,40272048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,3,2,56256032,56272064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,4,2,72256032,72272064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,5,2,88256000,88272016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,6,2,104256000,104272016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,7,2,120256016,120272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,8,2,136256016,136272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,9,2,152256016,152272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,10,2,168256048,168272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,11,2,184256032,184272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,12,2,200256016,200272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,13,2,216256016,216272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,14,2,232256064,232272080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,15,2,248256032,248272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,16,2,264256016,264272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,17,2,280256048,280272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,18,2,296256064,296272080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,19,2,312256048,312272080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,20,2,328256032,328272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,21,2,344256016,344272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,22,2,360256048,360272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,23,2,376256064,376272080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,24,2,392256032,392272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,25,2,408256048,408272080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,26,2,424256048,424272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,27,2,440256048,440272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,28,2,456256016,456272048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,29,2,472256000,472272016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,30,2,488256016,488272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,31,2,504256016,504272048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,32,2,520256000,520272032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,33,2,536256016,536272048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,34,2,552256032,552272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,35,2,568256048,568272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,36,2,584256048,584272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,37,2,600256048,600272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,38,2,616256032,616272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,39,2,632256032,632272064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,40,2,648256016,648272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,41,2,664256016,664272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,42,2,680256000,680272032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,43,2,696256016,696272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,44,2,712256016,712272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,45,2,728256032,728272064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,46,2,744256048,744272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,47,2,760256032,760272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,48,2,776256032,776272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,49,2,792256064,792272080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,50,2,808256016,808272048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,51,2,824256064,824272080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,52,2,840256016,840272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,53,2,856256064,856272080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,54,2,872256016,872272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,55,2,888256016,888272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,56,2,904256048,904272080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,57,2,920256016,920272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,58,2,936256016,936272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,59,2,952256016,952272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,60,2,968256000,968272032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,61,2,984256048,984272080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,62,2,1000256016,1000272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,63,2,1016256016,1016272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,64,2,1032256064,1032272080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,65,2,1048256048,1048272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,66,2,1064256000,1064272016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,67,2,1080256032,1080272064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,68,2,1096256000,1096272016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,69,2,1112256048,1112272080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,70,2,1128256032,1128272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,71,2,1144256000,1144272032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,72,2,1160256064,1160272080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,73,2,1176256016,1176272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,74,2,1192256016,1192272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,75,2,1208256016,1208272032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,76,2,1224256016,1224272048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,77,2,1240256032,1240272048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,78,2,1256256048,1256272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,79,2,1272256048,1272272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,80,2,1288256000,1288272032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,81,2,1304256048,1304272064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
