record_type,schema_version,seq,elapsed_ms,step_index,dac_code_requested,dac_code_applied,dac_code_clamped,dac_voltage_measured_v,ocxo_tune_voltage_measured_v,dwell_ms,event,flags
DAC,1,1,327068,-1,0,0,0,,,0,clear,0
DAC,1,2,327069,-1,32768,32768,0,,,5000,profile_loaded,0
DAC,1,3,340223,-1,0,0,0,,,0,start,0
DAC,1,4,340224,0,32768,32768,0,,,5000,step_apply,0
DAC,1,5,340224,0,32768,32768,0,,,5000,dwell_start,0
DAC,1,6,340518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,7,341518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,8,342518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,9,343518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,10,344518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,11,345224,0,32768,32768,0,,,5000,dwell_complete,0
DAC,1,12,345224,1,33792,33792,0,,,5000,step_apply,0
DAC,1,13,345225,1,33792,33792,0,,,5000,dwell_start,0
DAC,1,14,345518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,15,346518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,16,347518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,17,348518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,18,349518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,19,350224,1,33792,33792,0,,,5000,dwell_complete,0
DAC,1,20,350224,2,32768,32768,0,,,5000,step_apply,0
DAC,1,21,350225,2,32768,32768,0,,,5000,dwell_start,0
DAC,1,22,350518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,23,351518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,24,352518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,25,353518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,26,354518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,27,355224,2,32768,32768,0,,,5000,dwell_complete,0
DAC,1,28,355224,3,31744,31744,0,,,5000,step_apply,0
DAC,1,29,355225,3,31744,31744,0,,,5000,dwell_start,0
DAC,1,30,355518,3,31744,31744,0,,,5000,fc0_window,16
DAC,1,31,356518,3,31744,31744,0,,,5000,fc0_window,16
DAC,1,32,357518,3,31744,31744,0,,,5000,fc0_window,16
DAC,1,33,358518,3,31744,31744,0,,,5000,fc0_window,16
DAC,1,34,359518,3,31744,31744,0,,,5000,fc0_window,16
DAC,1,35,360224,3,31744,31744,0,,,5000,dwell_complete,0
DAC,1,36,360224,4,32768,32768,0,,,5000,step_apply,0
DAC,1,37,360225,4,32768,32768,0,,,5000,dwell_start,0
DAC,1,38,360518,4,32768,32768,0,,,5000,fc0_window,16
DAC,1,39,361518,4,32768,32768,0,,,5000,fc0_window,16
DAC,1,40,362518,4,32768,32768,0,,,5000,fc0_window,16
DAC,1,41,363518,4,32768,32768,0,,,5000,fc0_window,16
DAC,1,42,364518,4,32768,32768,0,,,5000,fc0_window,16
DAC,1,43,365224,4,32768,32768,0,,,5000,dwell_complete,0
DAC,1,44,365224,-1,32768,32768,0,,,5000,complete,0
DAC,1,45,636862,-1,0,0,0,,,0,clear,0
DAC,1,46,641512,-1,0,0,0,,,0,clear,0
DAC,1,47,641513,-1,32768,32768,0,,,5000,profile_loaded,0
DAC,1,48,665394,-1,0,0,0,,,0,start,0
DAC,1,49,665395,0,32768,32768,0,,,5000,step_apply,0
DAC,1,50,665395,0,32768,32768,0,,,5000,dwell_start,0
DAC,1,51,665518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,52,666518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,53,667518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,54,668518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,55,669518,0,32768,32768,0,,,5000,fc0_window,16
DAC,1,56,670395,0,32768,32768,0,,,5000,dwell_complete,0
DAC,1,57,670395,1,33792,33792,0,,,5000,step_apply,0
DAC,1,58,670395,1,33792,33792,0,,,5000,dwell_start,0
DAC,1,59,670518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,60,671518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,61,672518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,62,673518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,63,674518,1,33792,33792,0,,,5000,fc0_window,16
DAC,1,64,675395,1,33792,33792,0,,,5000,dwell_complete,0
DAC,1,65,675395,2,32768,32768,0,,,5000,step_apply,0
DAC,1,66,675395,2,32768,32768,0,,,5000,dwell_start,0
DAC,1,67,675518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,68,676518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,69,677518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,70,678518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,71,679518,2,32768,32768,0,,,5000,fc0_window,16
DAC,1,72,680395,2,32768,32768,0,,,5000,dwell_complete,0
DAC,1,73,680395,3,31744,31744,0,,,5000,step_apply,0
