record_type,schema_version,status_seq,timestamp_ticks,status_domain,component,status_key,status_value,severity,flags
STS,1,61,92117616,rp2040_timer0,system,uptime_seconds,5,INFO,0
STS,1,62,92121984,rp2040_timer0,capture,event_count,1,INFO,0
STS,1,63,92125376,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,64,92129360,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,65,108117264,rp2040_timer0,system,uptime_seconds,6,INFO,0
STS,1,66,108121008,rp2040_timer0,capture,event_count,2,INFO,0
STS,1,67,108124032,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,68,108127952,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,69,124117184,rp2040_timer0,system,uptime_seconds,7,INFO,0
STS,1,70,124120992,rp2040_timer0,capture,event_count,2,INFO,0
STS,1,71,124124064,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,72,124127808,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,73,140117504,rp2040_timer0,system,uptime_seconds,8,INFO,0
STS,1,74,140122096,rp2040_timer0,capture,event_count,3,INFO,0
STS,1,75,140125168,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,76,140129216,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,77,156116944,rp2040_timer0,system,uptime_seconds,9,INFO,0
STS,1,78,156121120,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,79,156124640,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,80,156128608,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,81,172116944,rp2040_timer0,system,uptime_seconds,10,INFO,0
STS,1,82,172121536,rp2040_timer0,capture,event_count,5,INFO,0
STS,1,83,172124688,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,84,172128624,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,85,188117392,rp2040_timer0,system,uptime_seconds,11,INFO,0
STS,1,86,188121280,rp2040_timer0,capture,event_count,6,INFO,0
STS,1,87,188124480,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,88,188128080,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,89,204117072,rp2040_timer0,system,uptime_seconds,12,INFO,0
STS,1,90,204121472,rp2040_timer0,capture,event_count,7,INFO,0
STS,1,91,204124752,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,92,204128560,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,93,220117024,rp2040_timer0,system,uptime_seconds,13,INFO,0
STS,1,94,220121280,rp2040_timer0,capture,event_count,8,INFO,0
STS,1,95,220124512,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,96,220128448,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,97,236117072,rp2040_timer0,system,uptime_seconds,14,INFO,0
STS,1,98,236121152,rp2040_timer0,capture,event_count,9,INFO,0
STS,1,99,236124112,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,100,236127952,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,101,252117040,rp2040_timer0,system,uptime_seconds,15,INFO,0
STS,1,102,252121424,rp2040_timer0,capture,event_count,10,INFO,0
STS,1,103,252124704,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,104,252128784,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,105,268117152,rp2040_timer0,system,uptime_seconds,16,INFO,0
STS,1,106,268121024,rp2040_timer0,capture,event_count,11,INFO,0
STS,1,107,268124368,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,108,268128096,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,109,284116656,rp2040_timer0,system,uptime_seconds,17,INFO,0
STS,1,110,284121008,rp2040_timer0,capture,event_count,12,INFO,0
STS,1,111,284124608,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,112,284128704,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,113,300116736,rp2040_timer0,system,uptime_seconds,18,INFO,0
STS,1,114,300120912,rp2040_timer0,capture,event_count,13,INFO,0
STS,1,115,300124608,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,116,300128560,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,117,316117072,rp2040_timer0,system,uptime_seconds,19,INFO,0
STS,1,118,316121280,rp2040_timer0,capture,event_count,14,INFO,0
STS,1,119,316124960,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,120,316128896,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,121,332117200,rp2040_timer0,system,uptime_seconds,20,INFO,0
STS,1,122,332121328,rp2040_timer0,capture,event_count,15,INFO,0
STS,1,123,332125184,rp2040_timer0,capture,dropped_count,0,INFO,0
